,Date,GHI
795,2021-09-19,2.938925
796,2021-09-20,4.525633333
797,2021-09-21,3.796208333
798,2021-09-22,5.418633333
799,2021-09-23,4.212283333
800,2021-09-24,3.27
801,2021-09-25,5.464258333
802,2021-09-26,2.443658333
803,2021-09-27,5.290108333
804,2021-09-28,5.242925
805,2021-09-29,5.312208333
806,2021-09-30,3.7533
807,2021-10-01,2.890266667
808,2021-10-02,2.241108333
809,2021-10-03,3.25835
810,2021-10-04,3.980583333
811,2021-10-05,4.432375
812,2021-10-06,2.569391667
813,2021-10-07,3.308558333
814,2021-10-08,4.530558333
815,2021-10-09,4.019216667
816,2021-10-10,4.879491667
817,2021-10-11,3.888933333
818,2021-10-12,3.69335
819,2021-10-13,4.217616667
820,2021-10-14,4.225558333
821,2021-10-15,4.874091667
822,2021-10-16,3.088991667
823,2021-10-17,2.655141667
824,2021-10-18,3.646175
825,2021-10-19,4.813958333
826,2021-10-20,3.462341667
827,2021-10-21,4.521408333
828,2021-10-22,3.811491667
829,2021-10-23,5.23085
830,2021-10-24,5.215608333
831,2021-10-25,4.301241667
832,2021-10-26,4.34445
833,2021-10-27,2.7031
834,2021-10-28,4.804625
835,2021-10-29,4.6817
836,2021-10-30,5.343966667
837,2021-10-31,4.882691667
838,2021-11-01,5.157433333
839,2021-11-02,5.658
840,2021-11-03,5.717733333
841,2021-11-04,4.610741667
842,2021-11-05,4.493766667
843,2021-11-06,4.409416667
844,2021-11-07,5.132466667
845,2021-11-08,4.932991667
846,2021-11-09,3.22415
847,2021-11-10,3.982908333
848,2021-11-11,3.147491667
849,2021-11-12,5.170041667
850,2021-11-13,4.65255
851,2021-11-14,2.8508
852,2021-11-15,3.419125
853,2021-11-16,3.139875
854,2021-11-17,4.831783333
855,2021-11-18,4.327291667
856,2021-11-19,4.265508333
857,2021-11-20,3.625275
858,2021-11-21,5.127283333
859,2021-11-22,2.969658333
860,2021-11-23,4.362266667
861,2021-11-24,4.224641667
862,2021-11-25,4.057691667
863,2021-11-26,4.631066667
864,2021-11-27,1.684283333
865,2021-11-28,3.185458333
866,2021-11-29,2.700216667
867,2021-11-30,2.478966667
868,2021-12-01,4.040033333
869,2021-12-02,4.209466667
870,2021-12-03,5.584608333
871,2021-12-04,4.317975
872,2021-12-05,4.869316667
873,2021-12-06,4.898133333
874,2021-12-07,4.362108333
875,2021-12-08,4.85815
876,2021-12-09,3.397541667
877,2021-12-10,5.471958333
878,2021-12-11,4.818091667
879,2021-12-12,4.694283333
880,2021-12-13,4.765308333
881,2021-12-14,4.7271
882,2021-12-15,4.8865
883,2021-12-16,3.369958333
884,2021-12-17,3.554241667
885,2021-12-18,4.851925
886,2021-12-19,3.424116667
887,2021-12-20,4.136958333
888,2021-12-21,4.197316667
889,2021-12-22,2.564775
890,2021-12-23,3.409658333
891,2021-12-24,3.881258333
892,2021-12-25,4.682108333
893,2021-12-26,4.1058
894,2021-12-27,3.863683333
895,2021-12-28,4.023341667
896,2021-12-29,3.707125
897,2021-12-30,4.752783333
898,2021-12-31,5.5853
899,2022-01-01,5.084191667
900,2022-01-02,4.54415
901,2022-01-03,4.367208333
902,2022-01-04,4.724058333
903,2022-01-05,3.9985
904,2022-01-06,3.5042
905,2022-01-07,4.089358333
906,2022-01-08,4.83185
907,2022-01-09,4.600666667
908,2022-01-10,4.306733333
909,2022-01-11,4.370066667
910,2022-01-12,4.761333333
911,2022-01-13,4.948008333
912,2022-01-14,4.740716667
913,2022-01-15,4.593716667
914,2022-01-16,4.543225
915,2022-01-17,3.3945
916,2022-01-18,4.994683333
917,2022-01-19,4.877458333
918,2022-01-20,5.157525
919,2022-01-21,4.276675
